branch,run_id,run_status,source_kind,manifest_commit,manifest_command,source_path,test,label,category,avg,std,unit,batch,runs,sample_count,sample_values
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,BUDDY_FRAGMENT,Buddy Max Allocation,buddy,16384.0,0.0,kb,1,1,1,16384
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,COW_FULLWRITE,COW Write 100%,cow,26.0,0.0,ticks,20,10,10,"25,26,26,26,26,26,27,27,27,27"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,COW_NO_ACCESS,COW No Access,cow,9.0,0.0,ticks,300,10,10,"8,9,9,9,9,9,9,10,10,10"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,COW_PARTIAL,COW Write 30%,cow,9.0,0.0,ticks,20,10,10,"8,8,8,9,9,9,9,10,11,11"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,COW_READONLY,COW Read Only,cow,10.0,0.0,ticks,300,10,10,"10,10,10,10,10,10,10,10,10,10"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,LAZY_FULL,Lazy Access 100%,lazy,13.0,0.0,ticks,50,10,10,"12,12,13,13,13,13,14,14,14,16"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,LAZY_HALF,Lazy Access 50%,lazy,6.0,0.0,ticks,50,10,10,"5,6,6,6,6,6,6,6,6,6"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,LAZY_SPARSE,Lazy Access 1%,lazy,9.0,0.0,ticks,2400,10,10,"9,9,9,10,10,10,10,10,10,10"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,MMAP_FULL,mmap Access 100%,mmap,12.0,0.0,ticks,50,10,10,"12,12,13,13,13,13,13,13,13,13"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,MMAP_SPARSE,mmap Access 1%,mmap,12.0,1.0,ticks,2400,10,10,"10,10,11,11,12,12,13,13,14,15"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_CONVOY_FCFS,Convoy FCFS,scheduler,20.0,0.0,ticks,4,10,10,"19,20,20,20,20,20,20,20,20,22"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_CONVOY_RR,Convoy RR,scheduler,9.0,0.0,ticks,4,10,10,"9,9,9,9,9,9,9,9,11,11"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_CONVOY_SRTF,Convoy SRTF,scheduler,20.0,0.0,ticks,4,10,10,"19,19,20,20,20,20,20,21,22,23"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_FAIRNESS_CFS,Fairness CFS,scheduler,458.0,175.0,bp,3,10,10,"0,0,476,500,526,526,526,555,555,555"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_FAIRNESS_PRIORITY,Fairness PRIORITY,scheduler,10118.0,473.0,bp,3,10,10,"9230,9285,10000,10000,10000,10000,10000,10833,10833,11666"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_FAIRNESS_RR,Fairness RR,scheduler,546.0,198.0,bp,3,10,10,"400,416,434,454,454,454,555,555,1052,1250"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_RESPONSE_MLFQ,Response MLFQ,scheduler,5.0,0.0,ticks,6,10,10,"4,5,5,5,5,5,5,5,5,6"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_RESPONSE_RR,Response RR,scheduler,10.0,0.0,ticks,6,10,10,"10,10,11,11,11,11,11,11,11,11"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_THROUGHPUT_FCFS,Throughput FCFS,scheduler,34.0,1.0,ticks,6,10,10,"34,34,34,35,35,35,35,35,36,39"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_THROUGHPUT_RR,Throughput RR,scheduler,16.0,0.0,ticks,6,10,10,"16,16,16,16,16,16,17,17,18,19"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SCHED_THROUGHPUT_SJF,Throughput SJF,scheduler,33.0,0.0,ticks,6,10,10,"33,33,34,34,34,34,34,34,34,35"
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SYS_FREE_PAGES,Free Physical Pages,system,32417.0,0.0,pages,1,1,0,
testing,run02,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run02_clean.log,SYS_TOTAL_PAGES,Total Physical Pages,system,32768.0,0.0,pages,1,1,0,
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,BUDDY_FRAGMENT,Buddy Max Allocation,buddy,16384.0,0.0,kb,1,1,1,16384
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,COW_FULLWRITE,COW Write 100%,cow,28.0,3.0,ticks,20,10,10,"26,27,27,27,27,28,28,32,33,34"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,COW_NO_ACCESS,COW No Access,cow,9.0,0.0,ticks,300,10,10,"9,9,9,9,9,9,9,9,9,10"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,COW_PARTIAL,COW Write 30%,cow,9.0,0.0,ticks,20,10,10,"8,9,9,9,9,9,9,9,10,10"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,COW_READONLY,COW Read Only,cow,10.0,0.0,ticks,300,10,10,"10,10,10,10,10,10,11,11,11,11"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,LAZY_FULL,Lazy Access 100%,lazy,12.0,0.0,ticks,50,10,10,"12,12,12,12,12,12,12,12,12,12"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,LAZY_HALF,Lazy Access 50%,lazy,6.0,0.0,ticks,50,10,10,"6,6,6,6,6,6,6,6,6,7"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,LAZY_SPARSE,Lazy Access 1%,lazy,10.0,0.0,ticks,2400,10,10,"10,10,10,10,10,10,10,10,10,10"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,MMAP_FULL,mmap Access 100%,mmap,12.0,1.0,ticks,50,10,10,"12,12,12,12,12,12,13,14,14,16"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,MMAP_SPARSE,mmap Access 1%,mmap,10.0,0.0,ticks,2400,10,10,"10,10,10,10,10,10,10,11,11,11"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_CONVOY_FCFS,Convoy FCFS,scheduler,20.0,0.0,ticks,4,10,10,"20,20,20,20,20,21,21,21,21,21"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_CONVOY_RR,Convoy RR,scheduler,9.0,0.0,ticks,4,10,10,"9,9,9,9,9,9,10,10,10,10"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_CONVOY_SRTF,Convoy SRTF,scheduler,20.0,0.0,ticks,4,10,10,"20,20,20,20,20,20,20,21,21,21"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_FAIRNESS_CFS,Fairness CFS,scheduler,572.0,132.0,bp,3,10,10,"454,454,500,526,526,555,555,555,909,1000"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_FAIRNESS_PRIORITY,Fairness PRIORITY,scheduler,10825.0,22.0,bp,3,10,10,"10000,10769,10833,10833,10833,10833,10833,10833,10833,11538"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_FAIRNESS_RR,Fairness RR,scheduler,524.0,33.0,bp,3,10,10,"400,454,500,526,526,526,555,555,555,769"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_RESPONSE_MLFQ,Response MLFQ,scheduler,5.0,0.0,ticks,6,10,10,"5,5,5,5,5,5,6,6,6,7"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_RESPONSE_RR,Response RR,scheduler,10.0,0.0,ticks,6,10,10,"10,10,10,11,11,11,11,11,11,11"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_THROUGHPUT_FCFS,Throughput FCFS,scheduler,37.0,2.0,ticks,6,10,10,"36,36,37,37,37,37,37,38,41,42"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_THROUGHPUT_RR,Throughput RR,scheduler,18.0,0.0,ticks,6,10,10,"16,17,18,18,18,18,18,19,19,21"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SCHED_THROUGHPUT_SJF,Throughput SJF,scheduler,37.0,1.0,ticks,6,10,10,"36,36,36,36,37,37,37,38,39,40"
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SYS_FREE_PAGES,Free Physical Pages,system,32417.0,0.0,pages,1,1,0,
testing,run03,complete,clean,9b20e87fe39d9631cdedbd93f1b30df6655e1c73-dirty,perftest memory + perftest sched_core + perftest sched_fairness + perftest sched_response,experiments/logs/thesis_final/testing/runs/run03_clean.log,SYS_TOTAL_PAGES,Total Physical Pages,system,32768.0,0.0,pages,1,1,0,
